feature1,feature2,label
0.6011383633221781,3.422786427940608,-1.0
0.927336663010925,1.348499051039482,-1.0
-1.0221808874662048,0.7688457277567137,1.0
-0.9161673534653196,1.3838292527238079,1.0
0.6862262356017849,3.4080698185444254,-1.0
1.027767817913471,1.2203287571616974,-1.0
-1.0892784640501993,0.4206302701953454,1.0
1.0345963138122807,0.4918247760267751,-1.0
-0.822118714034696,2.203551302482065,1.0
-1.1593700439459693,0.14788636212542172,1.0
-1.0915342947323672,0.6871471197803332,1.0
-1.1667763997358516,0.023341590870007645,1.0
-0.9926917975317542,0.8424210756325848,1.0
1.2710948174212509,-0.4582789754481884,-1.0
1.013624736797961,1.760418290226824,-1.0
0.7264338697525312,2.4308144376139817,-1.0
-0.8861653937493786,1.7421641604075837,1.0
0.6458687759133375,2.3635404298862372,-1.0
0.9665719052401818,1.723114147552113,-1.0
-1.1656505752428774,0.12766611164424213,1.0
